config_type,n_frames,RMSE_E_meV_per_atom,RMSE_F_meV_per_A,rel_F_RMSE_pct
2pttop,1,6.591881773601926,70.78557954017606,8.118863291311504
2pttopoh,1,5.311352986609563,63.94039275109097,18.077316784446545
5PtGraph_sol_initial,4,14.403943456373185,55.00011675205052,4.122094079442375
6PthemGraph_sol_initial,2,9.97030132050153,87.83538458002279,5.552665236013934
Chair4x4sat_sol_initial,4,4.401258991378146,60.226511079217886,5.64056871381507
Close0.0Pt,7,7.045450283288202,74.88592713138004,37.103083946438545
Close0.25Pt,6,8.502493359284005,67.29260545425394,30.575940208562017
Close0.25PtO,6,8.64862387587217,79.28476786519971,31.32002194345512
Close0.25PtOH,6,8.318743535271036,71.67417949070332,30.686362189992675
Close0.25PtOH2,9,7.551315982783797,70.46958771560122,28.585812110489606
Close0.375Pt,5,8.976189151274916,78.97405411249254,30.87522446625173
Close0.375PtO,7,7.105084740012004,77.48637580969368,29.150453768060938
Close0.375PtO2,8,8.865984006936097,74.40202352842702,31.237151800199804
Close0.375PtOH,2,10.163344960589777,99.07274613389002,36.7830559902487
Close0.375PtOH2,4,8.653687279141431,72.08131471525792,17.933490500733622
Close0.75Pt,7,7.858734277170111,71.69052912194532,25.451245046926925
Close0.75PtO,6,7.282147595607173,77.2035054669369,24.62680448181259
Close0.75PtO2,5,10.526395699127132,74.00253896313681,15.8062740527427
Close0.75PtOH,7,7.3773843814990405,77.72527220434141,26.7501220749741
Close0.75PtOH2,8,8.869368935867778,98.98079188363658,34.029048177694555
DissolvedO2_Nafion,9,12.399055758051267,65.24869999675214,35.805812061453636
DissolvedOH_Nafion,19,9.4984430177422,63.98324046958665,48.807142390716955
Dry0.0Pt,15,11.739803775937462,27.93398202011971,17.739122370017267
Dry0.25Pt,17,17.03591409677265,32.6620534402927,13.846122113872722
Dry0.25PtO,6,21.671792920263822,38.638667267744765,13.309416151149676
Dry0.25PtO2,5,16.66584466169802,72.52113872396521,26.132762002960867
Dry0.25PtOH,9,18.34192490804957,35.377124442971926,10.230997928847044
Dry0.25PtOH2,5,17.157096387508084,58.68253973800211,7.414078549408007
Dry0.375Pt,4,17.482531760104358,51.690354422938114,13.448568441456759
Dry0.375PtO,5,21.108644679332066,34.112974540675864,9.046643847423223
Dry0.375PtO2,3,18.360080561274955,39.700358307981354,11.59610542536323
Dry0.375PtOH,10,18.11913129028394,31.239160434420675,7.541172090841645
Dry0.375PtOH2,4,20.919545316904152,43.381508098832974,12.234190828143864
Dry0.75Pt,6,18.226687775733662,44.54136325201246,13.336070023730045
Dry0.75PtO,4,23.09721790278312,46.55021740446698,13.735478188810765
Dry0.75PtO2,1,19.817762300135655,32.016664430842575,9.618478902738905
Dry0.75PtOH,8,18.47756710168919,123.10209965939248,32.626965703319094
Dry0.75PtOH2,2,16.52349103721279,61.9310339510822,19.189172816389423
Dry1.0Pt,3,26.978565915778773,54.181731839325,16.709585189756808
Dry1.0PtO,5,27.596100905808584,69.98394222474398,18.63244883050767
Dry1.0PtO2,6,29.47373332902551,62.17122029772418,15.060472877844484
Dry1.0PtOH,1,23.507785953825078,44.43677174528528,12.830148005183826
Dry1.0PtOH2,6,25.4781766885192,75.99841264914485,18.61619757857968
FORCED_5PtGraph_sol,1,11.81219585805593,63.61578759094648,40.2682205653068
FORCED_6PthemGraph_sol,1,9.077034620077029,37.199480792958006,11.978881291689216
FORCED_7PtGraph_sol,1,7.309905122724558,41.38650000796848,21.002552150269977
FORCED_Chair4x4,1,10.83196533267028,249.72538247310428,100.01759622290379
FORCED_Chair4x4_sol,1,8.835188930476079,228.51776141951075,97.07550812606262
FORCED_Chair4x4sat,1,20.55005881484817,17.42257898851498,5.263201922689442
FORCED_Chair4x4sat_sol,1,4.484790172426756,44.99347320612429,19.3711276044213
FORCED_Clo0.375Neb7,1,0.23508226365720475,67.97048180801218,30.746556711513332
FORCED_Clo0.375neb5,1,10.9706148806481,95.02199611894541,39.62576649417432
FORCED_Clo0.75Neb9,1,7.002803030104587,67.81580162491808,28.464248075109733
FORCED_Close0.0Pt_neb_img00,1,5.599063134241078,69.70601922553921,44.69852888744888
FORCED_Close0.0Pt_neb_img05,1,8.173434577884109,77.88326419923006,37.09836523471883
FORCED_Close0.25PtOH2_neb_img00,1,6.199862187031613,68.52590422355196,36.73804320030394
FORCED_Close0.25PtOH_neb_img00,1,4.940382906056584,67.13664166456756,33.59870299106714
FORCED_Close0.25PtOH_neb_img06,1,11.796123824296956,74.82459737951356,17.977598106605324
FORCED_Close0.25PtOH_neb_img10,1,10.482279653615478,78.75278429137313,36.06145645104417
FORCED_Close0.25PtO_neb_img00,1,6.304765611503171,66.90427824714553,33.67889574303594
FORCED_Close0.25PtO_neb_img08,1,11.24785014178542,74.25811139634804,27.65796804345393
FORCED_Close0.25PtO_neb_img09,1,11.203292800701092,74.69080476342977,14.713117080189884
FORCED_Close0.25Pt_neb_img09,1,12.512556019601107,76.97189947610813,20.99570876230081
FORCED_Close0.25Pt_neb_img10,1,8.624395416745756,73.57103691286358,29.70089235786007
FORCED_Close0.375PtO2_neb_img00,1,8.95325691317339,67.92394117041476,37.699208322413156
FORCED_Close0.375PtOH2_neb_img00,1,6.219641625307304,63.67989135580185,34.75155312286012
FORCED_Close0.375PtOH2_neb_img05,1,13.768069483148793,167.42701311312666,64.80659453760391
FORCED_Close0.375PtOH2_neb_img06,1,9.461643327199454,87.15809301316952,15.47309506088375
FORCED_Close0.375PtOH_neb_img00,1,6.139014556993061,73.68162435366948,40.75266668104213
FORCED_Close0.375PtOH_neb_img08,1,6.0353524926313185,72.20424498057537,38.160403212522574
