idx,config_type,formula,natoms,dE_per_atom_meV,F_rmse_meV_A,F_ref_rms_meV_A,F_maxerr_meV_A,worst_atom_idx,worst_atom_sym,absdE,rel_F_pct
43,none,C9H97F19O64Pt64S,254,-10.930012206535046,66.12596280354458,318.96181107411667,495.6998917691539,118,F,10.930012206535046,20.731623820689617
44,none,C9H97F19O64Pt64S,254,-13.35762834690207,186.73911219417258,385.7380812682729,1990.5952418443244,102,C,13.35762834690207,48.410857331013524
45,none,C9H97F19O64Pt64S,254,-11.569376053049332,70.69804870803121,228.11272539782487,443.70447240842645,117,F,11.569376053049332,30.992593063247554
46,none,C9H96F19O64Pt64S,253,-10.473310414691577,75.34661976597597,283.69957979164616,475.1767914064696,115,F,10.473310414691577,26.558594066763096
47,none,C9H96F19O64Pt64S,253,-4.12432880305571,81.4559129943606,284.25419289959996,566.6628488838077,105,F,4.12432880305571,28.656011073557412
48,none,C9H96F19O64Pt64S,253,-10.482852662965957,69.07721628773086,267.93537209196415,448.5908363552284,122,F,10.482852662965957,25.78129783626378
49,none,C9H96F19O64Pt64S,253,-9.457496908703163,70.53998774552369,255.65736690797675,452.62828974439327,129,F,9.457496908703163,27.591611616227897
50,none,C9H96F19O64Pt64S,253,-10.529976326759662,68.86095924411144,242.66606138200035,425.2837246010148,130,F,10.529976326759662,28.37683969976824
51,none,C9H96F19O64Pt64S,253,-10.323729992429119,73.32704951037844,228.2656154931482,407.4421604317416,118,F,10.323729992429119,32.123563311084624
52,none,C9H95F19O64Pt64S,252,-11.95934110208847,80.87535044187585,325.67797258733964,454.681337781442,116,F,11.95934110208847,24.832920015856114
53,none,C9H95F19O64Pt64S,252,-9.947500710993717,71.61262973199247,308.808030948687,499.2190928975865,107,F,9.947500710993717,23.19001533476698
54,none,C9H95F19O64Pt64S,252,-12.100630804308734,72.83409559491915,293.0834614678807,459.96599819706466,114,F,12.100630804308734,24.850974268604748
55,none,C9H95F19O64Pt64S,252,-5.882624000064208,77.80146906665621,392.3088050536077,428.5510449717211,121,F,5.882624000064208,19.83169076616185
56,none,C9H95F19O64Pt64S,252,-11.481374626681726,70.8959930342691,278.9912870845445,524.3986577897576,116,F,11.481374626681726,25.411543770822142
57,none,C9H95F19O64Pt64S,252,-9.799463378306154,66.03352355855284,259.7346190767965,523.4422379660787,107,F,9.799463378306154,25.423458679964615
58,none,Pt64,64,-8.350140363290848,25.49774832289213,233.84947943270666,158.05114480823644,57,Pt,8.350140363290848,10.903487313611683
59,none,Pt64,64,-11.197959025594173,32.4949207148032,167.89834446187382,256.3772898291627,57,Pt,11.197959025594173,19.353925626218498
60,none,Pt64,64,-9.908803556299972,19.129266234395175,196.60477251369616,105.63050645642242,57,Pt,9.908803556299972,9.72980766937515
61,none,Pt64,64,-11.739667899746564,26.934250986100285,127.94525727247216,211.75193841612287,57,Pt,11.739667899746564,21.051386788602187
62,none,Pt64,64,-8.987504685137537,17.708694335672764,151.36444798645246,72.52603661466578,57,Pt,8.987504685137537,11.699374966344635
63,none,H2O4Pt64,70,-12.316677093622275,104.1996554464653,1710.9971230823348,700.0566938166834,69,Pt,12.316677093622275,6.089995946851811
64,none,HO4Pt64,69,-15.25863511926508,31.190273910788964,314.0212408476949,137.25250332268914,64,O,15.25863511926508,9.932536355372445
65,none,O4Pt64,68,-18.986674026510787,31.07372804661512,322.7971769273111,182.3684608077875,67,O,18.986674026510787,9.626393992166927
66,none,O4Pt64,68,-24.47244649717023,49.95812418366375,167.6727302329801,282.26430376628696,67,O,24.47244649717023,29.79502040328638
67,none,O4Pt64,68,-17.117548012345864,30.03445952917792,221.50922495404396,152.42544113295196,65,O,17.117548012345864,13.559010707300839
68,none,O4Pt64,68,-17.851994061750112,20.47910036138514,273.40663101631355,91.9579914652655,67,O,17.851994061750112,7.490345162902504
69,none,O4Pt64,68,-14.09956515657113,24.528761554719168,180.3572797939426,243.9328302892039,64,O,14.09956515657113,13.600095090557568
70,none,O4Pt64,68,-16.03731012523092,39.5797417206822,200.04331240119586,260.61630328954936,64,O,16.03731012523092,19.78558605413574
71,none,O4Pt64,68,-15.196185523938553,41.938302368038954,190.33331548281345,217.5843407087747,55,Pt,15.196185523938553,22.034136410462448
72,none,O4Pt64,68,-13.856992957110325,18.787649939438573,162.7704155109106,88.66572868105408,67,O,13.856992957110325,11.542423038281932
73,none,O4Pt64,68,-15.206673498409252,19.74233865307569,164.839184181112,125.47932261250047,64,O,15.206673498409252,11.976726741976837
74,none,O4Pt64,68,-13.524906155533458,18.91927332624997,163.5725090130797,72.07609605931273,64,O,13.524906155533458,11.566291573321246
75,none,O4Pt64,68,-13.523235165527748,19.787189278961076,163.12116686608078,93.50247862114473,64,O,13.523235165527748,12.13036275985321
76,none,O4Pt64,68,-12.794374052592662,20.72667082666473,162.74816985124968,106.97330175336946,64,O,12.794374052592662,12.735424825734578
77,none,O4Pt64,68,-16.031841547587913,50.09762606053383,176.39991475221618,274.2834242000858,64,O,16.031841547587913,28.400028498258916
78,none,HO6Pt64,71,-16.21163429439881,31.116258847986423,383.44370542062126,161.21088479251736,50,Pt,16.21163429439881,8.11494840262229
79,none,O6Pt64,70,-19.095626731203602,41.6467701530109,409.886640283119,218.56879538722288,69,O,19.095626731203602,10.16055808119153
80,none,O6Pt64,70,-19.916253827977926,26.785613403903884,382.8606435437138,128.40905552206064,68,O,19.916253827977926,6.99617833684323
81,none,O6Pt64,70,-13.895595629167344,32.7078890223652,403.18449959871384,173.828309539273,48,Pt,13.895595629167344,8.11238751859734
82,none,O6Pt64,70,-13.781152290591438,86.87467196506019,373.1984240803648,659.1139495403523,54,Pt,13.781152290591438,23.278413401432942
83,none,O6Pt64,70,-13.407941512663715,39.113629046262645,373.4594381967788,227.49437174516206,48,Pt,13.407941512663715,10.473327233372357
84,none,HO12Pt64,77,-21.680894529661646,39.73442995201043,385.8956599566544,274.0866202730844,69,O,21.680894529661646,10.296677074956891
85,none,O12Pt64,76,-25.422172335981344,31.70669173075185,351.35543225628703,147.5587220240374,66,O,25.422172335981344,9.024107447874673
86,none,O12Pt64,76,-27.038502765782667,54.479686735095626,365.6080162004573,476.0806044539522,67,O,27.038502765782667,14.90111931933824
87,none,O12Pt64,76,-27.407703165648087,36.8671864206749,329.2273249345084,149.52830998441044,68,O,27.407703165648087,11.198094334365688
88,none,O12Pt64,76,-20.460865638788643,45.475309273258965,358.6102789873777,231.1780533042444,53,Pt,20.460865638788643,12.680983211543582
89,none,O12Pt64,76,-18.80441953452598,33.97688191087634,335.2005806104258,178.39911363708816,74,O,18.80441953452598,10.136283728686223
90,none,O12Pt64,76,-17.007262141927832,29.065248086570147,336.2371716627373,115.05525320760908,75,O,17.007262141927832,8.644269740563974
91,none,O12Pt64,76,-16.869503215084,36.83852841590473,345.6925284019986,290.06754007225595,74,O,16.869503215084,10.656443338881187
92,none,O16Pt64,80,-28.492163683040417,54.241106605351675,396.68043726193633,315.1888445072011,67,O,28.492163683040417,13.673753860852772
93,none,H2O16Pt64,82,-27.336540844549834,136.84270159423124,403.44156358458804,1137.5967305925212,78,O,27.336540844549834,33.91884078040461
94,none,H2O16Pt64,82,-34.853247371246674,53.599540915013655,316.81960837127235,225.59609284296207,52,Pt,34.853247371246674,16.91799986451653
95,none,H2O16Pt64,82,-32.141508508286236,50.052271345996694,379.6872707375441,337.5386094461747,55,Pt,32.141508508286236,13.182499178539736
96,none,O16Pt64,80,-32.71459040224727,36.877951175147686,390.031851852827,249.31649857417665,69,O,32.71459040224727,9.455112704247309
97,none,O16Pt64,80,-28.714913056683145,46.390437273550724,368.9411690822536,239.32007965071574,78,O,28.714913056683145,12.573938926075286
98,none,O16Pt64,80,-32.86563481124176,115.99604067461784,376.1701162358108,783.4902049243003,66,O,32.86563481124176,30.83605944973659
99,none,O16Pt64,80,-33.87308070268773,41.76058387800245,375.9284787173078,244.9020154182299,74,O,33.87308070268773,11.108651310614256
100,none,O16Pt64,80,-29.986348493548576,54.89143398780042,324.28702498839823,268.5687520128347,64,O,29.986348493548576,16.926805501935895
101,none,C444,444,-5.65089951592486,50.71247941740032,1613.330164181531,525.7817967244899,143,C,5.65089951592486,3.1433416757026666
102,none,C444,444,-5.208418860674683,55.75401083862121,1655.515278844295,480.0469162536293,142,C,5.208418860674683,3.367773861775697
103,none,C444,444,-5.814983356095901,56.22001999752546,1633.9115898331927,503.61350615774734,142,C,5.814983356095901,3.440823869990726
104,none,C444,444,-5.45026675847423,54.714677030837954,1628.3601752258312,450.30354060380444,328,C,5.45026675847423,3.3601090141651113
105,none,C444,444,-5.370895321722675,68.20459646726478,1629.1055074779777,676.2729476016135,332,C,5.370895321722675,4.186628561145342
106,none,C444,444,-6.117103888902568,54.82200229447527,1665.9954346790744,465.3789428853639,142,C,6.117103888902568,3.2906454095437416
107,none,C444,444,-5.1533928515808025,58.336092095167906,1603.2996988561476,476.50203429911437,174,C,5.1533928515808025,3.638502030330761
108,none,C9H95F19O52Pt64S,240,-7.0813280965618715,72.37346020394826,125.43805224757814,463.7920603058673,111,F,7.0813280965618715,57.696575247440975
109,none,C9H95F19O52Pt64S,240,-9.133465603008517,85.7474135413406,147.04015261072516,457.8489979987854,117,F,9.133465603008517,58.315645093451955
110,none,C9H95F19O52Pt64S,240,-7.678555911358369,69.06589775912252,111.6960803970639,447.61680802863805,105,F,7.678555911358369,61.8337702751994
111,none,C9H95F19O52Pt64S,240,-7.8927945549367,61.63034135436603,106.11982671811774,416.5641312362133,102,F,7.8927945549367,58.07617978690493
112,none,C9H95F19O52Pt64S,240,-8.712982373011377,68.77238452908486,123.22845876068192,466.1213189161399,103,F,8.712982373011377,55.808849044071486
113,none,C9H95F19O56Pt64S,244,-8.742844517610884,80.06366401088844,280.08476596338465,484.706010795221,114,F,8.742844517610884,28.5855118665594
114,none,C9H95F19O56Pt64S,244,-11.574329641603743,69.81638377429833,240.25806384126477,470.3429938890861,100,F,11.574329641603743,29.058913843751384
115,none,C9H97F19O56Pt64S,246,-12.181847198909844,70.75040462384104,173.91593142361472,478.74733019230484,100,F,12.181847198909844,40.68080712600799
116,none,C9H97F19O56Pt64S,246,-11.38835437290609,72.0643551783425,183.42845870544727,452.2869754222853,114,F,11.38835437290609,39.287445190860346
117,none,C9H97F19O56Pt64S,246,-15.603773819511696,74.30574945311464,198.26843798955534,508.63983396823363,100,F,15.603773819511696,37.477346473587
118,none,C9H97F19O56Pt64S,246,-9.335619228043996,76.6391926181442,142.6290604535761,465.322081175509,115,F,9.335619228043996,53.733224052954654
119,none,C9H97F19O56Pt64S,246,-8.895779307150827,73.13908457798809,111.14455509575934,447.82281027389183,105,F,8.895779307150827,65.8053689764409
120,none,C9H96F19O56Pt64S,245,-9.218418747376727,71.04411446993412,138.24409843349295,440.90157183401533,115,F,9.218418747376727,51.390341631192534
121,none,C9H96F19O56Pt64S,245,-7.951845318953297,65.58342038276778,118.50969009581425,447.04017561126574,114,F,7.951845318953297,55.340133224333
122,none,C9H96F19O56Pt64S,245,-8.59776246836599,68.43336057307418,120.3370482396872,454.17956730076924,121,F,8.59776246836599,56.86807311142341
123,none,C9H95F19O56Pt64S,244,-8.382256630880637,70.89327282647797,176.9080974494111,461.651139537964,58,Pt,8.382256630880637,40.073503614921144
124,none,C9H95F19O56Pt64S,244,-18.639547018941155,72.99237942970146,301.86177241298367,404.03560044297006,54,Pt,18.639547018941155,24.180729757936685
125,none,C9H95F19O56Pt64S,244,-10.466744327921512,69.63718950836208,156.72657084997743,468.4053644382847,114,F,10.466744327921512,44.43228045550778
126,none,C9H95F19O56Pt64S,244,-9.22529533284537,67.11585450557187,129.7537297211917,451.3018932012706,115,F,9.22529533284537,51.725568621254325
127,none,C9H95F19O56Pt64S,244,-10.021140907230771,67.43889664129749,107.35346123182808,505.40874460137474,121,F,10.021140907230771,62.819489811943996
128,none,C9H95F19O56Pt64S,244,-13.324137897799401,75.79526124234347,148.56869014223233,496.12149684106606,99,F,13.324137897799401,51.016981552291284
129,none,C9H95F19O56Pt64S,244,-7.352974025110837,66.03269228029401,117.4396320934455,451.83381084809616,100,F,7.352974025110837,56.22692365704321
130,none,C9H95F19O56Pt64S,244,-9.355577104677232,86.00126547982336,230.9118170582048,493.0443034776803,121,F,9.355577104677232,37.24420281970474
131,none,C9H95F19O56Pt64S,244,-11.295830940428862,75.88969629609367,177.52925741017432,517.5493159530829,61,Pt,11.295830940428862,42.747712350733
132,none,C9H95F19O56Pt64S,244,-9.851156160202962,76.65789202921307,192.63644698052144,483.94778688114667,108,F,9.851156160202962,39.79407491717514
133,none,C9H95F19O56Pt64S,244,-9.51434214566987,76.9932181595084,126.47484043416976,439.19282725788565,121,F,9.51434214566987,60.876311759083364
134,none,C9H95F19O58Pt64S,246,-11.115463159039495,63.692265510954776,129.5470684753709,423.6370058095987,125,F,11.115463159039495,49.165346819919556
135,none,C9H95F19O58Pt64S,246,-10.622742701898238,76.85751459662957,142.81823956258,508.3916657341057,64,O,10.622742701898238,53.814915260142385
136,none,C9H95F19O58Pt64S,246,-10.999311061364947,67.647382199635,107.28948749130545,479.9015092725043,110,F,10.999311061364947,63.05126791207482
137,none,C9H95F19O58Pt64S,246,-10.964131227418084,66.54759207114077,118.83357952669432,510.74497321593424,107,F,10.964131227418084,56.00066272193019
138,none,C9H95F19O58Pt64S,246,-11.019897488077413,64.90041358387569,125.18207790578894,450.6651300755674,109,F,11.019897488077413,51.844812508000736
139,none,C9H95F19O58Pt64S,246,-9.975622319005907,68.26059162500252,106.67861481135402,510.07897450563877,57,Pt,9.975622319005907,63.987137202439
140,none,C9H95F19O58Pt64S,246,-10.175934645022659,71.74495053246876,127.52807714214187,536.3402702794259,101,F,10.175934645022659,56.258160665672364
